Date,Direct,Regular,,
26-08-2024,85.7622,79.1748,,
23-08-2024,85.4119,78.8559,,
22-08-2024,85.2776,78.7334,,
21-08-2024,85.3124,78.767,,
20-08-2024,85.1607,78.6284,,
19-08-2024,84.6819,78.1878,,
16-08-2024,84.3808,77.9143,,
14-08-2024,82.9981,76.6405,,
13-08-2024,83.1029,76.7387,,
12-08-2024,83.7172,77.3074,,
09-08-2024,83.8388,77.4241,,
08-08-2024,83.283,76.9123,,
07-08-2024,83.4186,77.039,,
06-08-2024,82.1857,75.9018,,
05-08-2024,82.2479,75.9607,,
02-08-2024,84.4466,77.9957,,
01-08-2024,85.3407,78.8231,,
31-07-2024,84.9013,78.4187,,
30-07-2024,84.4549,78.0078,,
29-07-2024,84.2303,77.8019,,
26-07-2024,84.0106,77.6033,,
25-07-2024,82.9565,76.6311,,
24-07-2024,83.3111,76.9601,,
23-07-2024,83.8404,77.4505,,
22-07-2024,83.7829,77.3989,,
19-07-2024,83.2619,76.922,,
18-07-2024,84.0002,77.6055,,
16-07-2024,84.3059,77.8908,,
15-07-2024,84.3118,77.8978,,
12-07-2024,84.1068,77.7128,,
11-07-2024,84.0095,77.6244,,
10-07-2024,84.1974,77.7995,,
09-07-2024,84.364,77.9549,,
08-07-2024,83.9784,77.6001,,
05-07-2024,83.9205,77.5509,,
04-07-2024,83.819,77.4586,,
03-07-2024,83.2879,76.9693,,
02-07-2024,82.5255,76.2662,,
01-07-2024,82.5054,76.249,,
28-06-2024,81.9385,75.7294,,
27-06-2024,82.0557,75.8392,,
26-06-2024,81.769,75.5757,,
25-06-2024,81.7742,75.5819,,
24-06-2024,81.4983,75.3283,,
21-06-2024,81.2542,75.107,,
20-06-2024,81.3351,75.1831,,
19-06-2024,81.0075,74.8817,,
18-06-2024,80.9622,74.8413,,
14-06-2024,80.7598,74.6598,,
13-06-2024,80.5839,74.4986,,
12-06-2024,80.7448,74.6489,,
11-06-2024,80.2586,74.2008,,
10-06-2024,80.15,74.102,,
07-06-2024,79.7653,73.7507,,
06-06-2024,78.8155,72.874,,
05-06-2024,78.0896,72.2043,,
04-06-2024,76.0338,70.3049,,
03-06-2024,79.3574,73.3795,,
31-05-2024,77.7696,71.9157,,
